	DBS10_GRCh37	DBS10_GRCh38	DBS10_mm9	DBS10_mm10	DBS10_rn6
AC>CA	0.00963041738228935	0.00958964366413706	0.0107605899999433	0.0107608534040435	0.0103236806526879
AC>CG	1.77007671512483e-05	1.76258248032425e-05	1.97780314640701e-05	1.97785156024475e-05	1.89749893616381e-05
AC>CT	0.0135005851153589	0.0134434256973884	0.0150849392522569	0.0150853085103414	0.0144724495131138
AC>GA	0.00535023187904964	0.00532757981340948	0.00597810555552403	0.00597825189113528	0.00573537814038215
AC>GG	0.000590025571708278	0.000587527493441419	0.000659267715469006	0.000659283853414919	0.000632499645387938
AC>GT	0.0287012439119112	0.0285797272233369	0.0320694634473907	0.0320702484627258	0.0307673556315828
AC>TA	0.000105004550897236	0.000104559977646354	0.000117327305295332	0.000117330177302655	0.000112563496213108
AC>TG	7.66033199878883e-06	7.62789932162927e-06	8.55930627202133e-06	8.55951579179369e-06	8.21177505707052e-06
AC>TT	0.000710030772733691	0.000707024610751539	0.000793356064377956	0.000793375484617954	0.000761143641060062
AT>CA	0.00353015299683088	0.00349709402696314	0.00354825537553979	0.00354830110278758	0.00330426401663734
AT>CC	0.00116005027657899	0.00114918670574427	0.00116599893360515	0.00116601396012283	0.00108582047005647
AT>CG	0.00259011225546515	0.00256585652403245	0.00260339417072183	0.00260342772130873	0.00242437501503986
AT>GA	8.0603493355402e-05	7.98486624853342e-05	8.10168224556677e-05	8.10178665395691e-05	7.5445801626337e-05
AT>GC	0.00408017683486402	0.00404196703399706	0.00410109969750774	0.00410115254939754	0.0038190926877848
AT>TA	0.00293012699170382	0.00290268711019887	0.00294515247884747	0.00294519043375853	0.00274263273902193
CC>AA	0.0137005937837346	0.0135043760749618	0.0145465594627212	0.014546834876626	0.0137930274934731
CC>AG	7.13030902759326e-05	7.02818988426843e-05	7.5705816765841e-05	7.57072501243383e-05	7.17841503857396e-05
CC>AT	0.0105004550897236	0.0103500692545328	0.0111488229458812	0.0111490340295309	0.0105712984439028
CC>GA	0.0033901469289679	0.003341593787892	0.00359947712252736	0.0035995452723914	0.0034130192118886
CC>GG	7.41032116331922e-18	7.30419173105597e-18	7.8678836218076e-18	7.86803258655465e-18	7.46031633041137e-18
CC>GT	0.00108004680922871	0.00106457855189479	0.00114673607443349	0.0011467577858946	0.00108733355422999
CC>TA	0.0239010358708947	0.0235587290650793	0.0253768446101487	0.0253773250767418	0.0240622888389787
CC>TG	7.41032116331922e-18	7.30419173105597e-18	7.8678836218076e-18	7.86803258655465e-18	7.46031633041137e-18
CC>TT	0.0206008928426958	0.0203058501565119	0.0218729288271574	0.0218733429531749	0.0207398807566092
CG>AT	7.41032116331922e-18	7.47530854576301e-18	6.61398543895751e-18	6.61362502836214e-18	7.39023980532532e-18
CG>GC	1.90008234956903e-05	1.91674578096487e-05	1.6958937022968e-05	1.69580128932362e-05	1.89493328341675e-05
CG>GT	1.02004420871601e-05	1.02898984030746e-05	9.10427145443548e-06	9.10377534268476e-06	1.01727997320268e-05
CG>TA	0.35801551639248	0.361155257676539	0.319542076538028	0.319524663988346	0.357045323927997
CG>TC	0.00265011485597786	0.00267335595766154	0.00236532542688764	0.00236519653510927	0.00264293326371283
CG>TT	0.00777033676639546	0.00783848143057741	0.00693531266676112	0.00693493474633925	0.00774927979586744
CT>AA	0.00393017033358226	0.00390949072973925	0.00436189798511303	0.0043619737988441	0.00408208424651653
CT>AC	0.0130005634444197	0.0129321576301807	0.0144286701797632	0.0144289209630976	0.0135030776602328
CT>AG	0.0265011485597786	0.0263617059384453	0.0294122892125942	0.0294128004247758	0.0275255044612438
CT>GA	7.41032116331922e-18	7.37132984920301e-18	8.22434200246503e-18	8.2244849489656e-18	7.69675426633269e-18
CT>GC	7.41032116331922e-18	7.37132984920301e-18	8.22434200246503e-18	8.2244849489656e-18	7.69675426633269e-18
CT>GG	7.41032116331922e-18	7.37132984920301e-18	8.22434200246503e-18	8.2244849489656e-18	7.69675426633269e-18
CT>TA	0.0040301746677701	0.00400896886535602	0.00447288775572659	0.00447296549856023	0.00418595407467216
CT>TC	0.0027501191901657	0.0027356487294613	0.00305221869187298	0.00305227174219371	0.00285642027428001
CT>TG	0.0457019807238446	0.0454615079768661	0.0507223251703984	0.0507232067702737	0.0474685114671261
GC>AA	0.00408017683486402	0.00403628581338043	0.00413182183995889	0.00413179406470316	0.0038952288543987
